,batch,cluster_number,size
1309,449,1,539
1310,449,2,101
1311,449,3,44
1312,449,4,117
1313,449,5,157
1314,450,0,498
1315,450,1,325
1316,450,2,177
1317,451,0,89
1318,451,1,911
1319,452,0,43
1320,452,1,293
1321,452,2,664
1322,453,0,837
1323,453,1,163
1324,454,0,61
1325,454,1,939
1326,455,0,116
1327,455,1,884
1328,456,0,580
1329,456,1,420
1330,457,0,417
1331,457,1,583
1332,458,0,759
1333,458,1,241
1334,459,0,607
1335,459,1,393
1336,460,0,182
1337,460,1,45
1338,460,2,773
1339,461,0,450
1340,461,1,550
1341,462,0,639
1342,462,1,361
1343,463,0,606
1344,463,1,394
1345,464,0,77
1346,464,1,923
1347,465,0,521
1348,465,1,479
1349,466,0,59
1350,466,1,23
1351,466,2,49
1352,466,3,619
1353,466,4,250
1354,467,0,113
1355,467,1,887
1356,468,0,173
1357,468,1,827
1358,469,0,393
1359,469,1,465
1360,469,2,142
1361,470,0,61
1362,470,1,939
1363,471,0,728
1364,471,1,272
1365,472,0,729
1366,472,1,271
1367,473,0,718
1368,473,1,282
1369,474,0,668
1370,474,1,75
1371,474,2,257
1372,475,0,245
1373,475,1,557
1374,475,2,198
1375,476,0,225
1376,476,1,52
1377,476,2,723
1378,477,0,375
1379,477,1,625
1380,478,0,780
1381,478,1,220
1382,479,0,375
1383,479,1,625
1384,480,0,51
1385,480,1,643
1386,480,2,107
1387,480,3,199
1388,481,0,64
1389,481,1,936
1390,482,0,492
1391,482,1,508
1392,483,0,468
1393,483,1,532
1394,484,0,547
1395,484,1,453
1396,485,0,613
1397,485,1,387
1398,486,0,565
1399,486,1,435
1400,487,0,236
1401,487,1,537
1402,487,2,227
1403,488,0,89
1404,488,1,847
1405,488,2,64
1406,489,0,229
1407,489,1,418
1408,489,2,220
1409,489,3,133
1410,490,0,154
1411,490,1,846
1412,491,0,198
1413,491,1,802
1414,492,0,156
1415,492,1,586
1416,492,2,258
1417,493,0,80
1418,493,1,612
1419,493,2,308
1420,494,0,679
1421,494,1,321
1422,495,0,108
1423,495,1,653
1424,495,2,239
1425,496,0,55
1426,496,1,405
1427,496,2,521
1428,496,3,19
1429,497,0,19
1430,497,1,61
1431,497,2,34
1432,497,3,549
1433,497,4,70
1434,497,5,267
1435,498,0,759
1436,498,1,241
1437,499,0,621
1438,499,1,379
1439,500,0,84
1440,500,1,159
1441,500,2,757
1442,501,0,20
1443,501,1,134
1444,501,2,846
1445,502,0,112
1446,502,1,888
1447,503,0,259
1448,503,1,741
1449,504,0,480
1450,504,1,520
1451,505,0,19
1452,505,1,293
1453,505,2,688
1454,506,0,24
1455,506,1,414
1456,506,2,562
1457,507,0,391
1458,507,1,609
1459,508,0,375
1460,508,1,625
1461,509,0,284
1462,509,1,38
1463,509,2,678
1464,510,0,492
1465,510,1,508
1466,511,0,230
1467,511,1,770
1468,512,0,198
1469,512,1,802
1470,513,0,103
1471,513,1,622
1472,513,2,275
1473,514,0,103
1474,514,1,520
1475,514,2,377
1476,515,0,469
1477,515,1,531
1478,516,0,234
1479,516,1,766
1480,517,0,259
1481,517,1,370
1482,517,2,371
1483,518,0,193
1484,518,1,372
1485,518,2,415
1486,518,3,20
1487,519,0,231
1488,519,1,769
1489,520,0,673
1490,520,1,327
1491,521,0,117
1492,521,1,494
1493,521,2,389
1494,522,0,329
1495,522,1,671
1496,523,0,144
1497,523,1,144
1498,523,2,646
1499,523,3,66
1500,524,0,455
1501,524,1,545
1502,525,0,648
1503,525,1,352
1504,526,0,503
1505,526,1,497
1506,527,0,143
1507,527,1,857
1508,528,0,131
1509,528,1,81
1510,528,2,378
1511,528,3,410
1512,529,0,565
1513,529,1,435
1514,530,0,299
1515,530,1,701
1516,531,0,405
1517,531,1,595
1518,532,0,683
1519,532,1,317
1520,533,0,536
1521,533,1,464
1522,534,0,165
1523,534,1,835
1524,535,0,295
1525,535,1,215
1526,535,2,490
1527,536,0,621
1528,536,1,379
1529,537,0,333
1530,537,1,667
1531,538,0,756
1532,538,1,244
1533,539,0,62
1534,539,1,507
1535,539,2,431
1536,540,0,232
1537,540,1,768
1538,541,0,378
1539,541,1,622
1540,542,0,708
1541,542,1,292
1542,543,0,52
1543,543,1,503
1544,543,2,445
1545,544,0,722
1546,544,1,278
1547,545,0,646
1548,545,1,336
1549,545,2,18
1550,546,0,25
1551,546,1,975
1552,547,0,709
1553,547,1,291
1554,548,0,208
1555,548,1,672
1556,548,2,120
1557,549,0,123
1558,549,1,183
1559,549,2,694
1560,550,0,257
1561,550,1,743
1562,551,0,84
1563,551,1,916
1564,552,0,272
1565,552,1,648
1566,552,2,80
1567,553,0,641
1568,553,1,359
1569,554,0,675
1570,554,1,325
1571,555,0,524
1572,555,1,476
1573,556,0,671
1574,556,1,329
1575,557,0,602
1576,557,1,398
1577,558,0,483
1578,558,1,517
1579,559,0,639
1580,559,1,361
1581,560,0,626
1582,560,1,314
1583,560,2,60
1584,561,0,532
1585,561,1,468
1586,562,0,91
1587,562,1,909
1588,563,0,536
1589,563,1,464
1590,564,0,3
1591,564,1,38
1592,564,2,959
1593,565,0,555
1594,565,1,445
1595,566,0,72
1596,566,1,928
1597,567,0,493
1598,567,1,507
1599,568,0,467
1600,568,1,533
1601,569,0,441
1602,569,1,559
1603,570,0,77
1604,570,1,923
1605,571,0,14
1606,571,1,41
1607,571,2,728
1608,571,3,217
1609,572,0,59
1610,572,1,941
1611,573,0,576
1612,573,1,424
1613,574,0,570
1614,574,1,430
1615,575,0,45
1616,575,1,603
1617,575,2,352
1618,576,0,641
1619,576,1,170
1620,576,2,189
1621,577,0,55
1622,577,1,729
1623,577,2,216
1624,578,0,929
1625,578,1,71
1626,579,0,555
1627,579,1,179
1628,579,2,266
1629,580,0,572
1630,580,1,428
1631,581,0,300
1632,581,1,700
1633,582,0,887
1634,582,1,113
1635,583,0,802
1636,583,1,198
1637,584,0,524
1638,584,1,476
1639,585,0,60
1640,585,1,940
1641,586,0,353
1642,586,1,39
1643,586,2,608
1644,587,0,19
1645,587,1,263
1646,587,2,718
1647,588,0,697
1648,588,1,303
1649,589,0,326
1650,589,1,674
1651,590,0,302
1652,590,1,698
1653,591,0,102
1654,591,1,668
1655,591,2,230
1656,592,0,529
1657,592,1,471
